parameter,number_measurements,measurement_spacing,sample_size,bias,num_removed_values,lower_ci,upper_ci,lower_ci_perc,upper_ci_perc,sd_estimate,estimate,num_converged_values,pop_value,perc_error,conv_fail
theta_rand,7,Middle-and-extreme,100,0.09116312052052242,0,0.0414848326753302,0.0585663383427845,-0.8515167324669802,0.8566338342784495,0.004348340168733923,0.04960359174113348,999,0.05,0.7928165177330387,0
theta_rand,7,Middle-and-extreme,200,0.06477265546245342,0,0.044061670701379015,0.055582690853738945,-0.5938329298620991,0.5582690853738942,0.002936017604755866,0.04980982634325545,1000,0.05,0.3803473134890989,0
theta_rand,7,Middle-and-extreme,500,0.0952989173433444,0,0.04637308868710223,0.053495489268756184,-0.3626911312897778,0.34954892687561784,0.0018026700535862697,0.04982820749556596,998,0.05,0.3435850088680803,0
theta_rand,7,Middle-and-extreme,1000,0.10139423946654352,0,0.047538610446484365,0.05227598355470583,-0.24613895535156366,0.22759835547058213,0.0012664037254680165,0.049871593957398576,995,0.05,0.2568120852028538,0
theta_rand,9,Equal,30,0.17452329730006558,2,0.03459154876501645,0.0627764758515745,-1.5408451234983547,1.2776475851574498,0.007198717968397253,0.048743656003822085,997,0.05,2.512687992355836,0
theta_rand,9,Equal,50,0.17019969085261288,2,0.038653119845430774,0.05955571461494795,-1.1346880154569225,0.9555714614947952,0.005365104568861715,0.0490868608609878,998,0.05,1.8262782780244096,0
theta_rand,9,Equal,100,0.1753203093193307,0,0.04179264793807223,0.05680528464468081,-0.8207352061927766,0.680528464468081,0.003929173129680627,0.04931113615153519,998,0.05,1.3777276969296204,0
theta_rand,9,Equal,200,0.15141140725328606,2,0.044304866883743965,0.05497347610449366,-0.569513311625604,0.49734761044936543,0.0027512232070083477,0.04958343342255897,999,0.05,0.8331331548820653,0
theta_rand,9,Equal,500,0.07629648272269939,1,0.04659900414107386,0.0532150850336253,-0.34009958589261446,0.3215085033625297,0.0017359155725663231,0.04986755574750963,994,0.05,0.26488850498074257,0
theta_rand,9,Equal,1000,0.12571879484985365,1,0.04738770194760053,0.0522956003801731,-0.2612298052399473,0.22956003801731018,0.0012234567897906861,0.04984618848683665,991,0.05,0.30762302632671157,0
theta_rand,9,Time increasing,30,0.28337111053513825,2,0.03508261907230275,0.061624996057962095,-1.4917380927697255,1.162499605796209,0.0068267381314688425,0.0480654996343531,1000,0.05,3.869000731293801,0
